0,1,2,3,4,5
1,3,5,6,17,14
1,3,5,6,21,14
1,3,5,6,27,14
1,3,5,6,30,14
1,3,5,6,33,14
1,3,5,6,37,14
1,3,5,21,17,14
1,3,5,21,27,14
1,3,5,21,30,14
1,3,5,21,33,14
1,3,5,23,6,14
1,3,5,23,17,14
1,3,5,23,21,14
1,3,5,23,27,14
1,3,5,23,29,6
1,3,5,23,29,14
1,3,5,23,30,14
1,3,5,23,33,14
1,3,5,23,37,14
1,3,5,27,17,14
1,3,5,27,30,14
1,3,5,29,6,14
1,3,5,29,17,14
1,3,5,29,21,14
1,3,5,29,27,14
1,3,5,29,30,14
1,3,5,29,33,14
1,3,5,29,37,14
1,3,5,30,17,14
1,3,5,33,17,14
1,3,5,33,27,14
1,3,5,33,30,14
1,3,5,37,17,14
1,3,5,37,21,14
1,3,5,37,27,14
1,3,5,37,30,14
1,3,5,37,33,14
1,3,6,21,17,14
1,3,6,21,27,14
1,3,6,21,30,14
1,3,6,21,33,14
1,3,6,27,17,14
1,3,6,27,30,14
1,3,6,30,17,14
1,3,6,33,17,14
1,3,6,33,27,14
1,3,6,33,30,14
1,3,6,37,17,14
1,3,6,37,21,14
1,3,6,37,27,14
1,3,6,37,30,14
1,3,6,37,33,14
1,3,21,27,17,14
1,3,21,27,30,14
1,3,21,30,17,14
1,3,21,33,17,14
1,3,21,33,27,14
1,3,21,33,30,14
1,3,23,6,17,14
1,3,23,6,21,14
1,3,23,6,27,14
1,3,23,6,30,14
1,3,23,6,33,14
1,3,23,6,37,14
1,3,23,21,17,14
1,3,23,21,27,14
1,3,23,21,30,14
1,3,23,21,33,14
1,3,23,27,17,14
1,3,23,27,30,14
1,3,23,29,6,14
1,3,23,29,17,14
1,3,23,29,21,14
1,3,23,29,27,14
1,3,23,29,30,14
1,3,23,29,33,14
1,3,23,29,37,14
1,3,23,30,17,14
1,3,23,33,17,14
1,3,23,33,27,14
1,3,23,33,30,14
1,3,23,37,17,14
1,3,23,37,21,14
1,3,23,37,27,14
1,3,23,37,30,14
1,3,23,37,33,14
1,3,27,30,17,14
1,3,29,6,17,14
1,3,29,6,21,14
1,3,29,6,27,14
1,3,29,6,30,14
1,3,29,6,33,14
1,3,29,6,37,14
1,3,29,21,17,14
1,3,29,21,27,14
1,3,29,21,30,14
1,3,29,21,33,14
1,3,29,27,17,14
1,3,29,27,30,14
1,3,29,30,17,14
1,3,29,33,17,14
1,3,29,33,27,14
1,3,29,33,30,14
1,3,29,37,17,14
1,3,29,37,21,14
1,3,29,37,27,14
1,3,29,37,30,14
1,3,29,37,33,14
1,3,33,27,17,14
1,3,33,27,30,14
1,3,33,30,17,14
1,3,37,21,17,14
1,3,37,21,27,14
1,3,37,21,30,14
1,3,37,21,33,14
1,3,37,27,17,14
1,3,37,27,30,14
1,3,37,30,17,14
1,3,37,33,17,14
1,3,37,33,27,14
1,3,37,33,30,14
1,4,3,5,6,14
1,4,3,5,17,14
1,4,3,5,21,14
1,4,3,5,23,6
1,4,3,5,23,14
1,4,3,5,27,14
1,4,3,5,29,6
1,4,3,5,29,14
1,4,3,5,30,14
1,4,3,5,33,14
1,4,3,5,37,14
1,4,3,6,17,14
1,4,3,6,21,14
1,4,3,6,27,14
1,4,3,6,30,14
1,4,3,6,33,14
1,4,3,6,37,14
1,4,3,21,17,14
1,4,3,21,27,14
1,4,3,21,30,14
1,4,3,21,33,14
1,4,3,23,6,14
1,4,3,23,17,14
1,4,3,23,21,14
1,4,3,23,27,14
1,4,3,23,29,6
1,4,3,23,29,14
1,4,3,23,30,14
1,4,3,23,33,14
1,4,3,23,37,14
1,4,3,27,17,14
1,4,3,27,30,14
1,4,3,29,6,14
1,4,3,29,17,14
1,4,3,29,21,14
1,4,3,29,27,14
1,4,3,29,30,14
1,4,3,29,33,14
1,4,3,29,37,14
1,4,3,30,17,14
1,4,3,33,17,14
1,4,3,33,27,14
1,4,3,33,30,14
1,4,3,37,17,14
1,4,3,37,21,14
1,4,3,37,27,14
1,4,3,37,30,14
1,4,3,37,33,14
1,4,5,6,17,14
1,4,5,6,21,14
1,4,5,6,27,14
1,4,5,6,30,14
1,4,5,6,33,14
1,4,5,6,37,14
1,4,5,21,17,14
1,4,5,21,27,14
1,4,5,21,30,14
1,4,5,21,33,14
1,4,5,23,6,14
1,4,5,23,17,14
1,4,5,23,21,14
1,4,5,23,27,14
1,4,5,23,29,6
1,4,5,23,29,14
1,4,5,23,30,14
1,4,5,23,33,14
1,4,5,23,37,14
1,4,5,27,17,14
1,4,5,27,30,14
1,4,5,29,6,14
1,4,5,29,17,14
1,4,5,29,21,14
1,4,5,29,27,14
1,4,5,29,30,14
1,4,5,29,33,14
1,4,5,29,37,14
1,4,5,30,17,14
1,4,5,33,17,14
1,4,5,33,27,14
1,4,5,33,30,14
1,4,5,37,17,14
1,4,5,37,21,14
1,4,5,37,27,14
1,4,5,37,30,14
1,4,5,37,33,14
1,4,6,21,17,14
1,4,6,21,27,14
1,4,6,21,30,14
1,4,6,21,33,14
1,4,6,27,17,14
1,4,6,27,30,14
1,4,6,30,17,14
1,4,6,33,17,14
1,4,6,33,27,14
1,4,6,33,30,14
1,4,6,37,17,14
1,4,6,37,21,14
1,4,6,37,27,14
1,4,6,37,30,14
1,4,6,37,33,14
1,4,19,3,5,6
1,4,19,3,5,14
1,4,19,3,6,14
1,4,19,3,17,14
1,4,19,3,21,14
1,4,19,3,23,6
1,4,19,3,23,14
1,4,19,3,27,14
1,4,19,3,29,6
1,4,19,3,29,14
1,4,19,3,30,14
1,4,19,3,33,14
1,4,19,3,37,14
1,4,19,5,6,14
1,4,19,5,17,14
1,4,19,5,21,14
1,4,19,5,23,6
1,4,19,5,23,14
1,4,19,5,27,14
1,4,19,5,29,6
1,4,19,5,29,14
1,4,19,5,30,14
1,4,19,5,33,14
1,4,19,5,37,14
1,4,19,6,17,14
1,4,19,6,21,14
1,4,19,6,27,14
1,4,19,6,30,14
1,4,19,6,33,14
1,4,19,6,37,14
1,4,19,21,17,14
1,4,19,21,27,14
1,4,19,21,30,14
1,4,19,21,33,14
1,4,19,23,6,14
1,4,19,23,17,14
1,4,19,23,21,14
1,4,19,23,27,14
1,4,19,23,29,6
1,4,19,23,29,14
1,4,19,23,30,14
1,4,19,23,33,14
1,4,19,23,37,14
1,4,19,27,17,14
1,4,19,27,30,14
1,4,19,29,6,14
1,4,19,29,17,14
1,4,19,29,21,14
1,4,19,29,27,14
1,4,19,29,30,14
1,4,19,29,33,14
1,4,19,29,37,14
1,4,19,30,17,14
1,4,19,33,17,14
1,4,19,33,27,14
1,4,19,33,30,14
1,4,19,37,17,14
1,4,19,37,21,14
1,4,19,37,27,14
1,4,19,37,30,14
1,4,19,37,33,14
1,4,21,27,17,14
1,4,21,27,30,14
1,4,21,30,17,14
1,4,21,33,17,14
1,4,21,33,27,14
1,4,21,33,30,14
1,4,23,6,17,14
1,4,23,6,21,14
1,4,23,6,27,14
1,4,23,6,30,14
1,4,23,6,33,14
1,4,23,6,37,14
1,4,23,21,17,14
1,4,23,21,27,14
1,4,23,21,30,14
1,4,23,21,33,14
1,4,23,27,17,14
1,4,23,27,30,14
1,4,23,29,6,14
1,4,23,29,17,14
1,4,23,29,21,14
1,4,23,29,27,14
1,4,23,29,30,14
1,4,23,29,33,14
1,4,23,29,37,14
1,4,23,30,17,14
1,4,23,33,17,14
1,4,23,33,27,14
1,4,23,33,30,14
1,4,23,37,17,14
1,4,23,37,21,14
1,4,23,37,27,14
1,4,23,37,30,14
1,4,23,37,33,14
1,4,27,30,17,14
1,4,29,6,17,14
1,4,29,6,21,14
1,4,29,6,27,14
1,4,29,6,30,14
1,4,29,6,33,14
1,4,29,6,37,14
1,4,29,21,17,14
1,4,29,21,27,14
1,4,29,21,30,14
1,4,29,21,33,14
1,4,29,27,17,14
1,4,29,27,30,14
1,4,29,30,17,14
1,4,29,33,17,14
1,4,29,33,27,14
1,4,29,33,30,14
1,4,29,37,17,14
1,4,29,37,21,14
1,4,29,37,27,14
1,4,29,37,30,14
1,4,29,37,33,14
1,4,33,27,17,14
1,4,33,27,30,14
1,4,33,30,17,14
1,4,37,21,17,14
1,4,37,21,27,14
1,4,37,21,30,14
1,4,37,21,33,14
1,4,37,27,17,14
1,4,37,27,30,14
1,4,37,30,17,14
1,4,37,33,17,14
1,4,37,33,27,14
1,4,37,33,30,14
1,5,6,21,17,14
1,5,6,21,27,14
1,5,6,21,30,14
1,5,6,21,33,14
1,5,6,27,17,14
1,5,6,27,30,14
1,5,6,30,17,14
1,5,6,33,17,14
1,5,6,33,27,14
1,5,6,33,30,14
1,5,6,37,17,14
1,5,6,37,21,14
